BLADE_TYPE,COMMENTS,FACING_CD,FLD_SRC_TXT,INSTDATE,MATERIAL,PL_TY,REUSE,SGN_COUNT_NO,SGN_STA_CD,SIGN_TXT,STA_CD,SIZE_CD,SUPPORTTYPE,UNITID,TE_SIGNLOCATION_UNITID,POINT,Ward Boundaries,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017
Parking Restrictions,,SW,Field Estimate,6/15/2016,High Intensity,SG_40-05,,4,A,,A,30X45,Signpole,1110004079,1110004076,POINT (-114.055804798368 51.041611955632),14,3,260,5
Park Plus,,NE,Field Estimate,7/3/2009,Engineer Grade,SG_40-05,,4,A,"14"" ZONE 3464, AL (G GREEN)",A,,Signpole,1109526383,1109526373,POINT (-114.05423120852 51.042027593481),14,3,260,5
Park Plus,,SW,Field Estimate,1/17/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, SAT, AL",A,SPECIAL,Signpole,1110223115,1110003727,POINT (-114.055793685574 51.041751852058),14,3,260,5
Park Plus,,SW,Field Estimate,2/21/2019,High Intensity,SG_40-12,,3,A,3HR 0900-1800 MON-SAT AR PAY REQ'D,A,30X45,Signpole,1110210364,1109409325,POINT (-114.08189237394 51.041051810825),14,1,260,2
Parking Restrictions,,NW,Field Estimate,7/14/2009,High Intensity,SG_40-05,,4,A,"2HR 0900-1800, M-SAT, PAY REQD, AL",R,SPECIAL,Signpole,1109536777,1109037640,POINT (-114.055654536932 51.043032877791),14,3,260,5
Pedestrian,,SW,Field Estimate,9/12/2018,High Intensity,SG_40-05,,2,A,PED SLEEVE,A,SPECIAL,Signpole,1110172223,1110172191,POINT (-113.9373185689 50.910574110269),4,3,96,8
Pedestrian,,,GPS,8/18/2016,Diamond Grade,SG_40-06,,0,R,PED SLEEVE,R,SPECIAL,Signpole,1110021172,1109715479,POINT (-113.937287504254 50.910545923606),4,3,96,8
Parking Restrictions,,NE,Field Estimate,7/17/2008,High Intensity,SG_40-12,,4,A,,A,30X45,Signpole,1109286987,1109286986,POINT (-114.053560201853 51.041868885223),14,3,260,5
Timed Parking,,SW,,7/1/2002,High Intensity,,,1,A,,A,30X45,,1109141161,1109071762,POINT (-114.142438148338 51.084796239056),13,2,269,9
Park Plus,,SE,,7/3/2009,Engineer Grade,SG_40-05,,4,A,"14"" ZONE 3199, AL (G GREEN)",A,,Signpole,1109526336,1109075270,POINT (-114.054691714515 51.04220569844),14,3,260,5
Park Plus,,NE,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"4 HR, 0900-1800, M-F, PAY REQD, AR",A,SPECIAL,Signpole,1110223124,1109526369,POINT (-114.054521552678 51.042063178225),14,3,260,5
Park Plus,,SW,Field Estimate,6/15/2016,High Intensity,SG_40-05,,4,A,"3HR, 0900-1800, M-SAT, PAY REQD, AR",R,30X45,Signpole,1110004078,1110004076,POINT (-114.055804798368 51.041611955632),14,3,260,5
Park Plus,,SE,Field Estimate,5/21/2019,Engineer Grade,SG_40-05,,4,A,"14"" ZONE 3199, AL (G GREEN)",A,,Signpole,1109526328,1109037815,POINT (-114.055280276146 51.042213287566),14,3,260,5
,,NE,Field Estimate,,,SG_40-05,,4,A,PAY HERE AR,A,SPECIAL,Signpole,1110174517,1110155345,POINT (-114.048449129653 51.041446154562),14,3,260,5
Park Plus,,SE,Field Estimate,1/16/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, M-F, PAY REQD, AR",A,SPECIAL,Signpole,1110223138,1109037816,POINT (-114.054985077234 51.042213328828),14,3,260,5
Parking Restrictions,,NE,Field Estimate,7/21/2016,High Intensity,SG_40-05,,4,A,,A,30X45,Signpole,1110014131,1110014130,POINT (-114.055113007297 51.042076844805),14,3,260,5
Timed Parking,,SE,Field Estimate,1/16/2019,High Intensity,SG_40-06,,6,A,"4HR 0900-1800, M-F, PAY REQD, DA",A,SPECIAL,Signpole,1110201969,1109068458,POINT (-114.054597407774 51.043149031148),14,3,260,5
Pedestrian,,W,Field Estimate,3/19/2019,High Intensity,SG_40-06,,1,A,,A,60X75,Signpole,1110193047,1110193046,POINT (-114.086080083398 50.924345394013),5,1,32,6
Park Plus,,NW,Field Estimate,8/21/2009,Engineer Grade,SG_40-99,,5,A,"14"" ZONE 3194 AR (BLUE)",A,SPECIAL,Signpole,1109536801,1109064485,POINT (-114.054330276081 51.042997232679),14,3,260,5
Warning,,W,,,,SG_40-06,,0,R,,R,75X75,Signpole,1110189458,1110189457,POINT (-114.093574115991 50.961637138053),8,1,7,5
Park Plus,,SW,Field Estimate,7/2/2019,High Intensity,SG_40-05,,4,A,"4HP, 09:00-18:00, SAT, AR",A,SPECIAL,Signpole,1110225509,1110225489,POINT (-114.055803847563 51.041887599449),14,3,260,5
Park Plus,,NE/SW,Field Estimate,5/21/2015,Engineer Grade,SG_40-05,,3,A,ZP 3460 AR BLUE,A,35X20,Signpole,1109950740,1109950739,POINT (-114.057196932163 51.041284769026),14,3,260,5
Park Plus,,SW,Field Estimate,7/2/2019,High Intensity,SG_40-05,,3,A,4HR 0900-1800 AL M-F PAY REQ,A,SPECIAL,Signpole,1110223010,1109950735,POINT (-114.057488654799 51.041274684146),14,3,260,5
Parking Restrictions,,NE,Field Estimate,5/23/2013,High Intensity,SG_40-12,,3,A,,A,30X45,Signpole,1109526266,1109526264,POINT (-114.056013405934 51.042060138138),14,3,260,5
,,NE/SW,Field Estimate,,,SG_40-06,,2,A,"2 HR, 0900-1800, M-F, PAY REQD, DA",R,SPECIAL,Signpole,1110204344,1109084571,POINT (-114.05602589994 51.041767751699),14,3,260,5
Stop,,W,Field Estimate,5/30/2018,Diamond Grade,SG_40-06,,0,R,,R,60X60,Signpole,1110139526,1110139525,POINT (-113.960179153119 50.87676498093),4,3,90,8
Street Name,,N,Field Estimate,9/26/2019,High Intensity,,,3,A,MAHOGANY CUSTOM SNB (MAGNOLIA ALLEY),A,SPECIAL,Streetlightstandard,1110205442,1110205376,POINT (-113.908385388627 50.889940904857),4,3,116,8
Parking Restrictions,,SW,Field Estimate,5/21/2015,High Intensity,SG_40-05,,3,A,NSAT TOW AWAY AR,A,30X45,Signpole,1109950748,1109950744,POINT (-114.056798731174 51.041267565377),14,3,260,5
Street Name,,E/W,Field Estimate,9/26/2019,High Intensity,SG_40-06,,3,A,MAHOGANY CUSTOM SNB (MAGNOLIA SQUARE),A,SPECIAL,Signpole,1110205236,1110176628,POINT (-113.90812083261 50.890577082856),4,3,116,8
Park Plus,,SW,Field Estimate,7/1/2007,,SG_40-06,,3,A,"14"" ZONE 2152, AL (GRASS GREEN)",R,,Signpole,1109240484,1109240481,POINT (-114.08601685758 51.046710961714),14,1,45,2
Timed Parking,,NE,Field Estimate,5/23/2013,High Intensity,SG_40-12,,3,A,"2 HR, 0900-1800, M-SAT, PAY REQD, AL",R,,Signpole,1109526265,1109526264,POINT (-114.056013405934 51.042060138138),14,3,260,5
Park Plus,,NE/SW,Field Estimate,5/21/2015,Engineer Grade,SG_40-05,,3,A,ZP 3460 AL BLUE,A,35X20,Signpole,1109950736,1109950735,POINT (-114.057488654799 51.041274684146),14,3,260,5
Yield,,N,Field Estimate,9/26/2019,Diamond Grade,SG_40-06,,3,A,,A,60X60,Signpole,1110205123,1110176629,POINT (-113.90845799949 50.891587357726),4,3,116,8
Stop,,N,Field Estimate,5/30/2018,Diamond Grade,SG_40-05,,0,R,ALL WAY,R,SPECIAL,Signpole,1110139517,1110139515,POINT (-113.960043608588 50.87699994023),4,3,90,8
Park Plus,,NE,Field Estimate,7/3/2009,Engineer Grade,SG_40-12,,3,A,"14"" ZONE 3457, AL (BLUE)",A,,Signpole,1109526267,1109526264,POINT (-114.056013405934 51.042060138138),14,3,260,5
Loading Zone,,SW,Field Estimate,1/28/2020,High Intensity,SG_40-06,,3,A,DLZ AL (NO 8M DISTANCE),A,30X75,Signpole,1110247770,1109240481,POINT (-114.08601685758 51.046710961714),14,1,45,2
Park Plus,,SW,Field Estimate,7/2/2019,High Intensity,SG_40-05,,3,A,4HR 0900-1800 AL M-F PAY REQ,A,SPECIAL,Signpole,1110223013,1109950744,POINT (-114.056798731174 51.041267565377),14,3,260,5
Parking Restrictions,,SW,Field Estimate,7/1/2007,,SG_40-06,,3,A,,R,30X45,Signpole,1109240482,1109240481,POINT (-114.08601685758 51.046710961714),14,1,45,2
Parking Restrictions,,NE,Field Estimate,12/7/2018,High Intensity,SG_40-07,,3,A,"NP 07:00-18:00 MON-SAT, COMM VEHICLES ONLY, MAX 20 MIN AL",A,30X75,Signpole,1109115682,1109084572,POINT (-114.056038969436 51.041491546499),14,3,260,5
Loading Zone,,NW,GPS,1/19/2012,High Intensity,SG_40-06,,1,A,"Mon to Fri, 07:00- 17:00, 10 Minutes Max",R,SPECIAL,Signpole,1109691384,1109048599,POINT (-114.126606774663 50.9967391377),8,1,129,5
Street Name,,N/S,Field Estimate,9/26/2019,High Intensity,SG_40-05,,2,A,"MAHOGANY CUSTOM SNB (MAGNOLIA MOUNT), SEMI-CIRCLE ON TOP",A,SPECIAL,Signpole,1110205215,1110176625,POINT (-113.907119823757 50.891427472225),4,3,116,8
Yield,,N,Field Estimate,9/26/2019,Diamond Grade,,,3,A,,A,60X60,Streetlightstandard,1110205441,1110205376,POINT (-113.908385388627 50.889940904857),4,3,116,8
Timed Parking,,SW,Field Estimate,11/2/2018,High Intensity,SG_40-06,,2,A,"NSAT EXCEPT SCHOOL BUSES, SCHOOL DAYS 0700-1700 AL",A,SPECIAL,Signpole,1110184919,1110184918,POINT (-114.127965931371 50.995685298715),8,1,129,5
Timed Parking,,SW,Field Estimate,11/2/2018,High Intensity,SG_40-06,,2,A,2HP AR,A,30X45,Signpole,1110184920,1110184918,POINT (-114.127965931371 50.995685298715),8,1,129,5
Stop,,N,Field Estimate,9/26/2019,Diamond Grade,SG_40-05,,2,A,,A,60X60,Signpole,1110205206,1110176624,POINT (-113.909329603964 50.890743696951),4,3,116,8
Timed Parking,,SW,,11/2/2018,High Intensity,,,1,A,"NSAT EXCEPT SCHOOL BUSES, SCHOOL DAYS 0700-1700 DA",A,SPECIAL,Streetlightstandard,1110184917,1109086776,POINT (-114.127941584733 50.995907734261),8,1,129,5
Stop,,N,Field Estimate,5/30/2018,Diamond Grade,SG_40-05,,0,R,,R,60X60,Signpole,1110139516,1110139515,POINT (-113.960043608588 50.87699994023),4,3,90,8
Stop,,S,Field Estimate,5/30/2018,Diamond Grade,SG_40-06,,0,R,,R,60X60,Signpole,1110139533,1110139532,POINT (-113.959695030447 50.87664017481),4,3,90,8
,,NE/SW,Field Estimate,,,SG_40-12,,3,A,"2 HR, 0900-1800, M-F, PAY REQD, AL",R,SPECIAL,Signpole,1110204343,1109526264,POINT (-114.056013405934 51.042060138138),14,3,260,5
Warning,,N,Field Estimate,6/2/2015,High Intensity,SG_40-12,,3,A,,R,60X60,Signpole,1109956338,1109526264,POINT (-114.056013405934 51.042060138138),14,3,260,5
Street Name,,N/S,Field Estimate,9/26/2019,High Intensity,SG_40-05,,2,A,"MAHOGANY CUSTOM SNB (MAGNOLIA RISE), SEMI-CIRCLE ON TOP",A,SPECIAL,Signpole,1110205207,1110176624,POINT (-113.909329603964 50.890743696951),4,3,116,8
Parking Restrictions,,NW,GPS,7/1/2004,High Intensity,SG_40-12,,2,A,,R,30X30,Signpole,1109113242,1109048600,POINT (-114.127033911553 50.996613422611),8,1,129,5
Parking Restrictions,,NE,Field Estimate,7/3/2009,High Intensity,SG_40-06,,2,A,"2 HR, 0900-1800, M-SAT, PAY REQD, DA",R,,Signpole,1109526268,1109084571,POINT (-114.05602589994 51.041767751699),14,3,260,5
Timed Parking,,SW,,12/22/2015,High Intensity,,,1,A,,R,30X45,Streetlightstandard,1109161483,1109086776,POINT (-114.127941584733 50.995907734261),8,1,129,5
Parking Restrictions,,NE,Field Estimate,7/14/2009,High Intensity,SG_40-06,,4,A,"2 HR, 0900-1800, M-SAT, PAY REQD, AL",R,,Signpole,1109537091,1109537089,POINT (-114.057358678793 51.042125739143),14,3,260,5
Timed Parking,,SW,Field Estimate,1/28/2020,High Intensity,SG_40-06,,3,A,"3 HR, 0900-1800, M-F PAY REQD, AL",A,SPECIAL,Signpole,1110202230,1109240481,POINT (-114.08601685758 51.046710961714),14,1,45,2
Disabled Parking,,NW,GPS,11/2/2018,High Intensity,SG_40-12,,1,A,HLZ DA,A,45X60,Signpole,1110184929,1109086710,POINT (-114.126888349364 50.996639831038),8,1,129,5
Parking Restrictions,,NE,Field Estimate,7/14/2009,High Intensity,SG_40-06,,4,A,,A,30X45,Signpole,1109537090,1109537089,POINT (-114.057358678793 51.042125739143),14,3,260,5
Park Plus,,NE,Field Estimate,7/3/2009,Engineer Grade,SG_40-06,,2,A,"14"" ZONE 3457, DA (BLUE)",A,,Signpole,1109526269,1109084571,POINT (-114.05602589994 51.041767751699),14,3,260,5
Timed Parking,,SW,,11/2/2018,High Intensity,,,3,A,"NSAT EXCEPT SCHOOL BUSES, SCHOOL DAYS 0700-1700 DA",A,SPECIAL,Streetlightstandard,1110184921,1109048604,POINT (-114.127949607325 50.996346817603),8,1,129,5
Stop,,W,Field Estimate,5/30/2018,Diamond Grade,SG_40-06,,0,R,ALL WAY,R,SPECIAL,Signpole,1110139527,1110139525,POINT (-113.960179153119 50.87676498093),4,3,90,8
Disabled Parking,,NW,GPS,1/19/2012,High Intensity,SG_40-12,,1,A,,R,45X60,Signpole,1109691382,1109086710,POINT (-114.126888349364 50.996639831038),8,1,129,5
Park Plus,,NE,Field Estimate,7/2/2019,High Intensity,SG_40-12,,3,A,"4 HR, 0900-1800, M-F, PAY REQD, AL",A,SPECIAL,Signpole,1110223018,1109526264,POINT (-114.056013405934 51.042060138138),14,3,260,5
Park Plus,,NE,Field Estimate,7/3/2009,Engineer Grade,SG_40-07,,3,A,"24"" ZONE 3457, AR (BLUE), ZONE 3458, AL (D GREY)",A,,Signpole,1109526271,1109084572,POINT (-114.056038969436 51.041491546499),14,3,260,5
Park Plus,,NE/SW,Field Estimate,1/28/2020,Engineer Grade,SG_40-06,,3,A,"2152 AL BLUE, 2153 AR BLACK",A,60X20,Signpole,1110247775,1110247772,POINT (-114.086023292827 51.046818296176),14,1,45,2
Guide / Information,,W,,10/27/2009,Scotch-Cal,SG_40-06,,1,A,,R,SPECIAL,Signpole,1109166422,1109040765,POINT (-114.067443795918 51.030409241649),14,1,297,5
Park Plus,,SW,Field Estimate,7/2/2019,High Intensity,SG_40-05,,3,A,4HR 0900-1800 AR M-F PAY REQ,A,SPECIAL,Signpole,1110223012,1109950739,POINT (-114.057196932163 51.041284769026),14,3,260,5
Park Plus,,NE,Field Estimate,7/2/2019,High Intensity,SG_40-06,,4,A,"4 HR, 0900-1800, M-F, PAY REQD, AL",A,SPECIAL,Signpole,1110223015,1109537089,POINT (-114.057358678793 51.042125739143),14,3,260,5
Timed Parking,,NW,GPS,11/2/2018,High Intensity,SG_40-06,,1,A,"NSAT EXCEPT SCHOOL BUSES, SCHOOL DAYS 0700-1700 DA",A,SPECIAL,Signpole,1110184924,1109048601,POINT (-114.127425950147 50.996552751371),8,1,129,5
,,NE/SW,Field Estimate,,,SG_40-05,,3,A,2HR 0900-1800 M-F AL PAY REQ,R,SPECIAL,Signpole,1110204355,1109950744,POINT (-114.056798731174 51.041267565377),14,3,260,5
Stop,,S,Field Estimate,9/26/2019,Diamond Grade,SG_40-05,,2,A,,A,60X60,Signpole,1110205214,1110176625,POINT (-113.907119823757 50.891427472225),4,3,116,8
Disabled Parking,,NW,GPS,11/2/2018,High Intensity,SG_40-06,,1,A,disabled,A,45X60,Signpole,1110184930,1109048599,POINT (-114.126606774663 50.9967391377),8,1,129,5
Parking Restrictions,,SW,,7/2/2007,High Intensity,,,1,A,,R,,Streetlightstandard,1109156765,1109086776,POINT (-114.127941584733 50.995907734261),8,1,129,5
Regulatory,,S,Field Estimate,9/26/2019,High Intensity,SG_40-05,,1,A,,A,60X75,Signpole,1110205004,1110176631,POINT (-113.908261857419 50.892025100807),4,3,116,8
Parking Restrictions,,NE,Field Estimate,7/1/2007,,SG_40-06,,2,A,,R,30X30,Signpole,1109190737,1109084571,POINT (-114.05602589994 51.041767751699),14,3,260,5
Park Plus,,NE,Field Estimate,7/14/2009,Engineer Grade,SG_40-06,,4,A,"14"" ZONE 3453, AL (BLUE)",A,,Signpole,1109537092,1109537089,POINT (-114.057358678793 51.042125739143),14,3,260,5
Park Plus,,SW,Field Estimate,7/2/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, SAT, AR",A,SPECIAL,Signpole,1110223117,1110004076,POINT (-114.055804798368 51.041611955632),14,3,260,5
Parking Restrictions,,NE,Field Estimate,12/7/2018,High Intensity,SG_40-07,,3,A,"2 HR, 0900-1800, MON-SAT, PAY REQD, AR",R,,Signpole,1109526270,1109084572,POINT (-114.056038969436 51.041491546499),14,3,260,5
Stop,,N,Field Estimate,9/26/2019,Diamond Grade,SG_40-05,,2,A,,A,60X60,Signpole,1110205209,1110176622,POINT (-113.90727779955 50.890724580094),4,3,116,8
Parking Restrictions,,NW,GPS,7/1/2002,High Intensity,SG_40-12,,1,A,,R,30X30,Signpole,1109176040,1109086710,POINT (-114.126888349364 50.996639831038),8,1,129,5
Parking Restrictions,,S,,12/22/2015,High Intensity,,,3,A,,R,30X60,Streetlightstandard,1109180941,1109048604,POINT (-114.127949607325 50.996346817603),8,1,129,5
Parking Restrictions,,,Field Estimate,,,SG_40-06,New,3,A,NS SNOW ROUTE 2100-0600,R,SPECIAL,Signpole,1109682194,1109537093,POINT (-114.056388901663 51.042104229341),14,3,260,5
Street Name,,N/S,Field Estimate,9/26/2019,High Intensity,SG_40-06,,3,A,"MAHOGANY CUSTOM SNB (MAGNOLIA PASSAGE), SEMI-CIRCLE ON TOP",A,SPECIAL,Signpole,1110205128,1110176629,POINT (-113.90845799949 50.891587357726),4,3,116,8
Parking Restrictions,,NW,GPS,3/15/2008,High Intensity,SG_40-06,,1,A,,R,30X30,Signpole,1109124974,1109048601,POINT (-114.127425950147 50.996552751371),8,1,129,5
Loading Zone,,SW,Field Estimate,1/28/2020,High Intensity,SG_40-06,,3,A,DLZ AR (NO 8M TEXT),A,30X75,Signpole,1110247774,1110247772,POINT (-114.086023292827 51.046818296176),14,1,45,2
Park Plus,,NE/SW,Field Estimate,5/21/2015,Engineer Grade,SG_40-05,,3,A,ZP 3460 AL BLUE,A,35X20,Signpole,1109950746,1109950744,POINT (-114.056798731174 51.041267565377),14,3,260,5
,,NE/SW,Field Estimate,,,SG_40-05,,3,A,2HR 0900-1800 M-F AR PAY REQ,R,SPECIAL,Signpole,1110204354,1109950739,POINT (-114.057196932163 51.041284769026),14,3,260,5
Park Plus,,NE,Field Estimate,7/2/2019,High Intensity,SG_40-06,,2,A,"4 HR, 0900-1800, M-F, PAY REQD, DA",A,SPECIAL,Signpole,1110223017,1109084571,POINT (-114.05602589994 51.041767751699),14,3,260,5
Parking Restrictions,,NW,GPS,1/19/2012,High Intensity,SG_40-12,,2,A,,R,30X45,Signpole,1109691374,1109048600,POINT (-114.127033911553 50.996613422611),8,1,129,5
Parking Restrictions,,NW,GPS,7/1/2002,High Intensity,SG_40-06,,1,A,,R,,Signpole,1109229256,1109048601,POINT (-114.127425950147 50.996552751371),8,1,129,5
Street Name,,E/W,,10/7/2009,High Intensity,,,3,A,30 ST SW,A,15XL,Streetlightstandard,1109174134,1109048604,POINT (-114.127949607325 50.996346817603),8,1,129,5
Park Plus,,SW,Field Estimate,5/21/2015,High Intensity,SG_40-05,,3,A,2HR 0900-1800 M-SAT AL PAY REQ,R,30X45,Signpole,1109950737,1109950735,POINT (-114.057488654799 51.041274684146),14,3,260,5
Timed Parking,,SW,Field Estimate,1/28/2020,High Intensity,SG_40-06,,3,A,3HR 0900-1800 M-F AL PAY REQ,A,SPECIAL,Signpole,1110247773,1110247772,POINT (-114.086023292827 51.046818296176),14,1,45,2
Park Plus,,SW,Field Estimate,7/2/2019,High Intensity,SG_40-05,,4,A,"4HR, 0900-1800, M-F, PAY REQD, AR",A,SPECIAL,Signpole,1110223116,1110004076,POINT (-114.055804798368 51.041611955632),14,3,260,5
Timed Parking,,NW,GPS,1/19/2012,High Intensity,SG_40-12,,1,A,"Mon- Fri, 7:00- 17:00",R,SPECIAL,Signpole,1109691383,1109086710,POINT (-114.126888349364 50.996639831038),8,1,129,5
Street Name,,N/S,Field Estimate,9/26/2019,High Intensity,SG_40-05,,2,A,"MAHOGANY CUSTOM SNB (MAGNOLIA RISE), SEMI-CIRCLE ON TOP",A,SPECIAL,Signpole,1110205221,1110176623,POINT (-113.909177257351 50.891430006132),4,3,116,8
,,NE/SW,Field Estimate,,,SG_40-05,,3,A,2HR 0900-1800 M-F AL PAY REQ,R,SPECIAL,Signpole,1110204349,1109950735,POINT (-114.057488654799 51.041274684146),14,3,260,5
Parking Restrictions,,SW,Field Estimate,7/1/2007,,SG_40-06,,3,A,"3 HR, 0900-1800, M-SAT, PAY REQD, AL",R,,Signpole,1109240483,1109240481,POINT (-114.08601685758 51.046710961714),14,1,45,2
Regulatory,,N,Field Estimate,9/26/2019,High Intensity,SG_40-05,,1,A,,A,60X75,Signpole,1110205006,1110176617,POINT (-113.90828759539 50.89175183667),4,3,116,8
Warning,,N,Field Estimate,5/30/2018,Diamond Grade,SG_40-05,,0,R,,R,45X90,Signpole,1110139519,1110139515,POINT (-113.960043608588 50.87699994023),4,3,90,8
Warning,,N,Field Estimate,6/2/2015,High Intensity,SG_40-12,,3,A,SHARE THE ROAD,R,60X30,Signpole,1109956339,1109526264,POINT (-114.056013405934 51.042060138138),14,3,260,5
Park Plus,,NE,Field Estimate,7/2/2019,High Intensity,SG_40-06,,3,A,"4 HR, 0900-1800, M-F, PAY REQD, AR",A,SPECIAL,Signpole,1110223014,1109537093,POINT (-114.056388901663 51.042104229341),14,3,260,5
Parking Restrictions,,NW,GPS,1/19/2012,High Intensity,SG_40-06,Decal,1,A,,R,30X60,Signpole,1109691373,1109048601,POINT (-114.127425950147 50.996552751371),8,1,129,5
Timed Parking,,NW,GPS,11/2/2018,High Intensity,SG_40-12,,2,A,"NSAT EXCEPT SCHOOL BUSES, SCHOOL DAYS 0700-1700 AR",A,SPECIAL,Signpole,1110184926,1109048600,POINT (-114.127033911553 50.996613422611),8,1,129,5
Parking Restrictions,,NW,GPS,7/1/2007,High Intensity,SG_40-06,,1,A,,R,30X30,Signpole,1109221781,1109048599,POINT (-114.126606774663 50.9967391377),8,1,129,5
Parking Restrictions,,SW,Field Estimate,5/21/2015,High Intensity,SG_40-05,,3,A,NPAT TOW AWAY AR,A,30X45,Signpole,1109950738,1109950735,POINT (-114.057488654799 51.041274684146),14,3,260,5
Timed Parking,,NW,Field Estimate,11/2/2018,High Intensity,SG_40-06,,1,A,"NSAT EXCEPT SCHOOL BUSES, SCHOOL DAYS 0700-1700 AL",A,SPECIAL,Signpole,1110184923,1110184922,POINT (-114.12780143635 50.996469060527),8,1,129,5
Park Plus,,SW,Field Estimate,5/21/2015,High Intensity,SG_40-05,,3,A,2HR 0900-1800 M-SAT AL PAY REQ,R,30X45,Signpole,1109950747,1109950744,POINT (-114.056798731174 51.041267565377),14,3,260,5
Regulatory,,N,Field Estimate,9/26/2019,High Intensity,,,1,A,,A,60X75,Streetlightstandard,1110205003,1110176616,POINT (-113.908286460503 50.892137929897),4,3,116,8
Timed Parking,,SW,Field Estimate,5/21/2015,High Intensity,SG_40-05,,3,A,2HR 0900-1800 M-S AR PAY REQ,R,30X60,Signpole,1109950742,1109950739,POINT (-114.057196932163 51.041284769026),14,3,260,5
Loading Zone,,SW,Field Estimate,7/2/2019,High Intensity,SG_40-05,,4,A,"LZ, MAX 20 MIN, AL",A,30X60,Signpole,1110225506,1110225489,POINT (-114.055803847563 51.041887599449),14,3,260,5
Yield,,N,Field Estimate,9/26/2019,Diamond Grade,SG_40-06,,3,A,,A,60X60,Signpole,1110205233,1110176628,POINT (-113.90812083261 50.890577082856),4,3,116,8
Street Name,,N/S,Field Estimate,9/26/2019,High Intensity,SG_40-06,,3,A,"MAHOGANY CUSTOM SNB (MAGNOLIA ALLEY), SEMI-CIRCLE ON TOP",A,SPECIAL,Signpole,1110205234,1110176628,POINT (-113.90812083261 50.890577082856),4,3,116,8
Street Name,,W,Field Estimate,9/26/2019,High Intensity,,,3,A,"MAHOGANY CUSTOM SNB (MAGNOLIA WAY), SEMI-CIRCLE ON TOP",A,SPECIAL,Streetlightstandard,1110205443,1110205376,POINT (-113.908385388627 50.889940904857),4,3,116,8
Parking Restrictions,,NE,Field Estimate,7/14/2009,High Intensity,SG_40-06,,3,A,,A,30X45,Signpole,1109537095,1109537093,POINT (-114.056388901663 51.042104229341),14,3,260,5
,,NE/SW,Field Estimate,,,SG_40-07,,3,A,"2 HR, 0900-1800, MON-F, PAY REQD, AR",R,SPECIAL,Signpole,1110204346,1109084572,POINT (-114.056038969436 51.041491546499),14,3,260,5
Snow Route,,NE,Field Estimate,11/1/2011,High Intensity,SG_40-06,,4,A,NS Snow Route 2100-0600,A,SPECIAL,Signpole,1109700961,1109537089,POINT (-114.057358678793 51.042125739143),14,3,260,5
,,NE/SW,Field Estimate,,,SG_40-06,,4,A,"2 HR, 0900-1800, M-F, PAY REQD, AL",R,SPECIAL,Signpole,1110204342,1109537089,POINT (-114.057358678793 51.042125739143),14,3,260,5
Regulatory,,S,Field Estimate,9/26/2019,High Intensity,SG_40-05,,1,A,,A,60X75,Signpole,1110205005,1110176632,POINT (-113.908289238871 50.891630054403),4,3,116,8
Street Name,,E/W,Field Estimate,9/26/2019,High Intensity,SG_40-06,,3,A,MAHOGANY CUSTOM SNB (MAGNOLIA SQUARE),A,SPECIAL,Signpole,1110205124,1110176629,POINT (-113.90845799949 50.891587357726),4,3,116,8
Parking Restrictions,,NW,,7/2/1988,Diamond Grade,SG_40-06,,1,A,,A,30X30,Signpole,1109226244,1109040765,POINT (-114.067443795918 51.030409241649),14,1,297,5
Disabled Parking,,NW,GPS,1/19/2012,High Intensity,SG_40-12,,2,A,,A,30X75,Signpole,1109691376,1109048600,POINT (-114.127033911553 50.996613422611),8,1,129,5
Stop,,S,Field Estimate,9/26/2019,Diamond Grade,SG_40-05,,2,A,,A,60X60,Signpole,1110205220,1110176623,POINT (-113.909177257351 50.891430006132),4,3,116,8
Regulatory,,W,Field Estimate,5/21/2015,High Intensity,SG_40-05,,3,A,KRM EXCEPT BICYCLES,A,SPECIAL,Signpole,1109950741,1109950739,POINT (-114.057196932163 51.041284769026),14,3,260,5
Street Name,,N/S,Field Estimate,9/26/2019,High Intensity,SG_40-05,,2,A,"MAHOGANY CUSTOM SNB (MAGNOLIA MOUNT), SEMI-CIRCLE ON TOP",A,SPECIAL,Signpole,1110205210,1110176622,POINT (-113.90727779955 50.890724580094),4,3,116,8
Parking Restrictions,,NE,Field Estimate,7/14/2009,High Intensity,SG_40-06,,3,A,"2 HR, 0900-1800, M-SAT, PAY REQD, AR",R,,Signpole,1109537094,1109537093,POINT (-114.056388901663 51.042104229341),14,3,260,5
Stop,,S,Field Estimate,5/30/2018,Diamond Grade,SG_40-06,,0,R,ALL WAY,R,SPECIAL,Signpole,1110139534,1110139532,POINT (-113.959695030447 50.87664017481),4,3,90,8
Street Name,,N/S,,10/7/2009,High Intensity,,,3,A,LINDSAY DR,A,15XL,Streetlightstandard,1109148687,1109048604,POINT (-114.127949607325 50.996346817603),8,1,129,5
Park Plus,,SW,Field Estimate,7/2/2019,Engineer Grade,SG_40-05,,4,A,"24"" ZONE [3476] AL (DARK GREY), ZONE [3475] AR (GRASS GREEN)",A,60X20,Signpole,1110225505,1110225489,POINT (-114.055803847563 51.041887599449),14,3,260,5
